BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PRC_FULL_PAYMENT,TENURE,cluster,CUST_ID,BALANCE,PAYMENTS,MINIMUM_PAYMENTS
0.454545,15.0,15.0,0.0,209.025389,0.090909,0.090909,0.0,0.090909,1.0,1.0,7500.0,0.0,11.0,1,C17875,16.834929,430.213001,86.959785
1.0,612.23,495.61,116.62,1708.923217,0.666667,0.166667,0.5,0.333333,10.0,10.0,2000.0,0.0,12.0,1,C16296,540.020858,1642.068707,419.956251
1.0,342.74,0.0,342.74,0.0,1.0,0.0,1.0,0.0,0.0,20.0,2000.0,0.0,12.0,0,C17219,119.237712,327.166041,165.207233
1.0,1901.71,1853.11,48.6,206.61878,0.666667,0.666667,0.416667,0.083333,1.0,33.0,1500.0,0.0,12.0,0,C13108,894.081947,947.130141,220.745296
1.0,3059.1,1836.98,1222.12,0.0,1.0,0.416667,1.0,0.0,0.0,42.0,7000.0,0.083333,12.0,0,C13576,1294.145453,5560.033502,497.637767
0.727273,145.85,0.0,145.85,0.0,0.583333,0.0,0.583333,0.0,0.0,7.0,1000.0,0.125,12.0,1,C14650,32.229139,263.681773,130.725349
0.875,1160.09,932.09,228.0,3129.703318,0.875,0.375,0.5,0.875,8.0,13.0,2000.0,0.2,8.0,0,C16884,812.839893,4900.523879,197.894736
1.0,885.44,0.0,885.44,0.0,0.833333,0.0,0.833333,0.0,0.0,111.0,1000.0,0.0,12.0,0,C12545,1054.905969,1057.25415,1613.401207
1.0,760.38,269.53,490.85,0.0,1.0,0.166667,1.0,0.0,0.0,35.0,4500.0,0.0,12.0,0,C12969,600.777518,829.712416,186.053091
1.0,0.0,0.0,0.0,2893.023143,0.0,0.0,0.0,0.916667,26.0,0.0,8000.0,0.0,12.0,1,C16584,2184.965504,1730.364781,481.160634
1.0,3237.47,3237.47,0.0,0.0,0.75,0.75,0.0,0.0,0.0,19.0,2000.0,0.571429,12.0,0,C12915,335.360271,3137.11501,124.831219
1.0,0.0,0.0,0.0,404.036972,0.0,0.0,0.0,0.333333,3.0,0.0,4500.0,0.0,9.0,1,C13874,4380.251712,776.241676,1326.776456
1.0,3914.15,2643.0,1271.15,0.0,0.583333,0.25,0.416667,0.0,0.0,12.0,9500.0,0.083333,12.0,1,C11045,1239.889457,3980.107176,511.121978
1.0,618.0,333.0,285.0,0.0,0.5,0.083333,0.333333,0.0,0.0,7.0,6000.0,0.0,12.0,1,C13074,212.080181,378.383325,169.341588
0.909091,1247.39,427.02,820.37,0.0,0.909091,0.272727,0.818182,0.0,0.0,25.0,5000.0,0.454545,11.0,0,C15304,90.017392,762.863333,115.044143
