x,y,label
-1.7005906,0.65982676,1
-0.13759226,-0.8405941,1
1.4355462,-1.3739823,0
0.62517774,-0.8877343,0
2.3892245,-0.7801149,0
0.02844579,-1.0887632,1
1.4511666,1.7363951,0
1.3782625,-0.9083359,0
1.7117739,-1.3142532,0
-1.513105,2.1853783,1
0.9036341,0.09237282,0
-1.9502718,0.78022575,1
0.35131747,-0.9923003,1
-0.63517016,-1.4453464,1
1.9716024,-0.6514723,0
0.45410597,-0.82170117,0
-1.0985928,-0.060359627,1
-1.8421783,1.7183385,1
-0.6103719,-1.2903185,1
-2.0258398,-0.08796157,1
-1.6966383,-0.82849157,1
-2.123863,-0.41748536,1
0.6316301,-1.2342547,0
-1.9954474,-0.5860995,1
-1.9275818,0.64654607,1
3.0453165,0.16249412,0
-1.9906942,0.55138165,1
0.7735028,-0.7106749,1
2.4694777,1.7004585,0
4.3768735,2.0644655,0
-1.81261,0.639317,1
-2.0976496,-0.40479216,1
-1.9031439,-0.59365267,1
-2.055044,-0.47662005,1
-2.0098577,-0.59798276,1
1.8882177,1.1693306,0
1.4109606,-1.1701117,0
1.0923667,-1.1250279,1
0.96185505,-0.81498265,0
-2.1577053,-0.108424515,1
2.2715783,-0.5916052,0
2.5997202,-0.013611486,0
1.5978932,-0.9147622,0
3.0180593,0.20642553,0
2.257959,-0.5684891,0
2.0947638,-1.004303,0
1.5990973,0.5069172,0
-2.1588721,0.49046725,1
2.1415758,1.6050417,0
0.9782156,-0.047325075,0
0.5888144,-1.0535929,1
-1.3389372,0.89091754,1
-2.1508834,0.0461326,1
1.7791995,-1.1120453,0
1.5017006,-0.5951693,0
1.6277778,-1.2769376,0
-2.1081412,0.24531707,1
-0.94028914,1.2495356,1
1.2230176,-0.82596457,0
-1.7958313,1.4663895,1
0.42437106,0.96028876,0
-2.2294037,0.18228905,1
-1.1905046,0.69774985,1
0.75404596,0.013625043,1
4.2009387,2.2989633,0
-1.921437,-0.45215094,1
-0.7776053,-0.64264536,1
-2.2156672,-0.14471602,1
-2.1987202,-0.3310844,1
1.6586119,0.6947207,0
-0.17216998,-0.19048578,1
-0.3892309,0.61330557,1
1.4897928,0.81607836,0
1.0580966,-0.7862352,0
-1.4507766,-0.4912867,1
-1.0123559,-1.3465834,1
-0.97901857,1.907943,1
0.8639399,-1.1743103,0
2.5489094,-0.016347462,0
-0.5690309,-1.3089182,1
-1.0302737,-0.19612071,1
0.33069998,0.2302762,0
-2.1556375,-0.11316712,1
-0.03187945,-1.4338317,0
-1.2526482,-0.7974827,1
-1.3962413,2.7197814,1
-2.150887,0.27781454,1
-1.4093237,2.3571486,1
-1.1336291,-0.13831666,1
-1.9359962,0.59519535,1
-0.19001807,-1.5311105,1
0.2160813,-0.68635243,0
1.0067117,-1.5381937,0
-2.1326041,-0.43406385,1
1.7303725,-1.0688331,0
-2.1116824,-0.20896858,1
1.5216993,-1.3001926,0
0.2127257,-1.3325068,0
3.6128705,0.7909998,0
-2.094541,0.28146145,1
-0.0823434,-0.5163859,1
2.9853628,0.13039973,0
-1.7891202,1.1088881,1
1.6344159,-1.3195827,0
1.4757698,0.6901812,0
-1.9423695,-0.1282839,1
-1.6668134,1.8683939,1
-1.8292899,0.9622973,1
-0.32724315,-0.31092814,1
-0.032957047,-1.3310759,0
0.59098864,-1.5994064,0
-0.5051632,0.4677435,1
-1.6428003,0.5415822,1
0.5826262,-0.940436,1
2.1758547,-0.6559379,0
1.0218328,-0.29445252,0
1.8066187,-0.1659765,0
-0.75771576,2.1829114,1
2.6782649,-0.21149933,0
0.3952291,-0.4981746,1
-2.07096,0.14984079,1
1.8155559,-1.2378058,0
-2.083593,-0.40081036,1
2.053123,-0.47842008,0
1.7097476,-1.2832992,0
1.7865311,-1.3046145,0
-1.6530961,1.6023834,1
-1.2954448,-1.0746019,1
-1.4820585,1.6558375,1
-2.2069304,-0.06903599,1
2.0304518,-0.37551656,0
-1.5615176,0.72891176,1
-0.9763422,0.44652313,1
-2.2432077,0.2563594,1
0.7128716,-1.1950855,0
-1.3977156,-0.5478021,1
1.3487896,-0.08886162,0
2.834631,-0.019609073,0
-1.5327928,-0.44531915,1
0.88909316,-0.7664739,0
2.9322636,0.15185581,0
0.09878499,-1.6569532,0
-1.8361888,1.5589089,1
1.8693917,-0.8296475,0
-1.483613,0.11222575,1
-1.1519792,0.58492386,1
1.6152043,-0.46987057,0
-2.1995542,-0.09496204,1
-2.238248,0.1344701,1
-1.9638165,0.381804,1
2.1724663,-0.7615282,0
-2.0181856,-0.28692892,1
2.5789976,0.0051795356,0
-1.0988792,-1.016725,1
1.8470244,-0.97445107,0
2.0172973,-0.33740917,0
-2.2051325,-0.2826356,1
-1.5473769,-0.8552214,1
-1.9343247,-0.66851497,1
2.0434356,-0.941622,0
-1.9352895,0.5356156,1
-0.44548786,-1.116905,1
-1.4010153,2.5161088,1
2.750807,1.0045254,0
3.7774453,1.4950004,0
-1.5337625,-0.011086834,1
-0.4316101,0.5665287,1
0.68661803,-0.2456508,0
